Date,Total Signals,consumer discretionary,fmcg,industrials,bank,telecom-service,services,healthcare,transportation,n/a,chemicals,auto,metals & mining,indices,realty,textiles,aerospace & defence,financials,energy,miscellaneous,i.t,building materials,power & utilities,plastic products,media,telecom,co-working
2026-03-23,10,0,2,3,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0
2026-03-24,44,4,4,5,2,0,0,3,0,0,3,2,2,6,3,1,0,3,0,2,2,2,0,0,0,0,0
2026-03-26,5,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
2026-03-29,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2026-03-31,30,1,2,4,0,0,0,7,1,0,3,0,2,2,0,0,0,2,0,1,0,3,1,0,1,0,0
2026-04-01,11,0,0,0,0,0,0,1,0,1,3,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0
2026-04-05,60,4,6,2,3,0,2,3,0,1,4,1,3,2,6,4,1,5,1,2,5,3,2,0,0,0,0
2026-04-06,66,2,2,7,0,0,2,6,1,1,5,0,5,7,3,3,1,5,0,5,2,3,0,1,5,0,0
2026-04-07,230,9,4,14,6,0,7,2,4,4,12,5,4,99,15,6,0,17,0,7,5,4,2,1,1,2,0
2026-04-08,41,4,3,1,0,0,3,1,1,0,0,0,1,8,4,1,1,4,1,2,1,3,0,2,0,0,0
2026-04-09,96,8,6,5,2,0,2,7,4,1,4,11,3,10,9,4,1,3,3,1,5,3,0,0,3,0,1
2026-04-12,16,1,1,1,0,0,0,1,1,0,0,0,2,0,1,1,2,2,0,0,0,2,0,0,1,0,0
2026-04-14,181,19,6,17,1,2,6,9,3,4,10,7,8,17,12,6,2,14,3,4,11,8,2,5,4,0,1
2026-04-15,26,2,1,3,0,0,1,1,0,0,1,0,2,3,3,1,0,1,0,0,3,1,0,2,0,0,1
2026-04-16,29,0,3,2,0,0,1,2,1,0,0,1,1,1,1,3,1,4,0,2,5,1,0,0,0,0,0
2026-04-19,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2026-04-20,11,1,0,1,1,0,0,0,0,0,0,1,0,1,3,0,0,1,1,0,1,0,0,0,0,0,0
2026-04-21,10,2,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
2026-04-22,7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0
2026-04-23,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2026-04-26,28,0,0,0,1,1,0,3,1,0,0,2,1,6,1,0,0,0,0,0,5,5,0,2,0,0,0
2026-04-27,13,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,1,2,1,3,1,0,0,0,0,0
2026-04-28,14,1,1,0,0,0,2,0,0,0,0,2,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0
2026-04-29,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2026-05-03,18,3,2,1,0,0,0,3,1,0,0,1,0,1,2,0,0,2,0,1,0,1,0,0,0,0,0
2026-05-04,9,0,2,2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2026-05-05,35,1,0,1,0,0,0,4,1,0,3,2,0,6,2,0,0,7,1,3,3,0,0,1,0,0,0
2026-05-06,19,0,1,2,0,0,2,2,1,0,0,3,0,1,1,1,0,1,0,0,3,1,0,0,0,0,0
2026-05-07,7,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0
2026-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2026-05-12,5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2026-05-13,15,2,1,0,0,0,0,1,0,1,0,0,2,3,1,0,0,1,0,1,1,0,0,0,1,0,0
2026-05-14,6,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
