Day Index,Symbol,Cap Type,Sector
53,PGEL,Midcap,Consumer Discretionary
53,NBCC,Largecap,Miscellaneous
53,SAMMAANCAP,Midcap,Financials
53,CDSL,Largecap,Financials
53,POWERINDIA,Largecap,Industrials
53,ANGELONE,Largecap,Financials
53,KALYANKJIL,Largecap,Consumer Discretionary
54,DABUR,Largecap,FMCG
54,JSWSTEEL,Largecap,Metals & Mining
54,BHARATFORG,Largecap,Industrials
54,SIEMENS,Largecap,Industrials
54,NESTLEIND,Largecap,FMCG
54,TATACONSUM,Largecap,FMCG
54,KEI,Largecap,Industrials
54,IOC,Largecap,Energy
54,PNB,Largecap,Bank
54,ADANIPORTS,Largecap,Transportation
54,NBCC,Largecap,Miscellaneous
55,COFORGE,Largecap,I.T
55,PERSISTENT,Largecap,I.T
55,360ONE,Largecap,Financials
56,FORCEMOT,Largecap,Auto
56,BHARTIARTL,Largecap,Telecom-Service
56,NIFTY,Smallcap,Indices
56,ICICIGI,Largecap,Financials
56,NYKAA,Largecap,I.T
57,SIEMENS,Largecap,Industrials
58,M&M,Largecap,Auto
59,AXISBANK,Largecap,Bank
59,KPITTECH,Midcap,I.T
59,SBICARD,Largecap,Financials
60,COLPAL,Largecap,FMCG
60,ICICIBANK,Largecap,Bank
60,POLICYBZR,Largecap,I.T
61,HEROMOTOCO,Largecap,Auto
61,M&M,Largecap,Auto
61,SUNPHARMA,Largecap,Healthcare
61,BAJAJ-AUTO,Largecap,Auto
61,ALKEM,Largecap,Healthcare
61,POWERINDIA,Largecap,Industrials
62,CUMMINSIND,Largecap,Industrials
62,ANGELONE,Largecap,Financials
63,CHOLAFIN,Largecap,Financials
64,COFORGE,Largecap,I.T
65,SUNPHARMA,Largecap,Healthcare
66,COFORGE,Largecap,I.T
67,HCLTECH,Largecap,I.T
67,ADANIPORTS,Largecap,Transportation
68,VOLTAS,Largecap,Consumer Discretionary
68,MUTHOOTFIN,Largecap,Financials
68,NAM-INDIA,Largecap,Financials
68,ANGELONE,Largecap,Financials
69,IDEA,Largecap,Telecom-Service
72,INFY,Largecap,I.T
72,CUMMINSIND,Largecap,Industrials
72,TCS,Largecap,I.T
72,KPITTECH,Midcap,I.T
73,TRENT,Largecap,Consumer Discretionary
73,RELIANCE,Largecap,Energy
73,FEDERALBNK,Largecap,Bank
73,CUMMINSIND,Largecap,Industrials
73,VMM,Largecap,Consumer Discretionary
74,CIPLA,Largecap,Healthcare
74,KOTAKBANK,Largecap,Bank
74,INDHOTEL,Largecap,Services
75,ABB,Largecap,Industrials
75,BHEL,Largecap,Industrials
75,HINDPETRO,Largecap,Energy
75,LT,Largecap,Realty
75,BPCL,Largecap,Energy
75,TCS,Largecap,I.T
75,NBCC,Largecap,Miscellaneous
75,ADANIENSOL,Largecap,Power & Utilities
75,NIFTY,Smallcap,Indices
75,ICICIGI,Largecap,Financials
75,ADANIGREEN,Largecap,Power & Utilities
75,HDFCAMC,Largecap,Financials
75,KFINTECH,Midcap,Financials
76,GRASIM,Largecap,Textiles
76,AMBUJACEM,Largecap,Building Materials
76,BRITANNIA,Largecap,FMCG
76,MOTHERSON,Largecap,Auto
76,MANAPPURAM,Largecap,Financials
76,MARUTI,Largecap,Auto
76,ADANIPORTS,Largecap,Transportation
76,ADANIENSOL,Largecap,Power & Utilities
76,NIFTY,Smallcap,Indices
76,COCHINSHIP,Largecap,Aerospace & Defence
